Brand,Product Name,Price,Product Link
Levis,Men Cotton Solid Boxers,Rs. 487,https://www.myntra.comboxers/levis/levis-men-assorted-smartskin-technology-cotton-boxer-shorts-with-tag-free-comfort-028/14451144/buy
Levis,Typography Printed Co-ords,Rs. 2049,https://www.myntra.comco-ords/levis/levis-typography-printed-co-ords/35665812/buy
Levis,Men Solid Pure Cotton Boxers,Rs. 521,https://www.myntra.comboxers/levis/levis-men-solid-cotton-woven-soft--boxer-shorts-with-side-pocket/11870954/buy
Levis,Men 512 Slim Fit Jeans,Rs. 1535,https://www.myntra.comjeans/levis/levis-men-512-slim-fit-light-fade-stretchable-jeans/25756930/buy
Levis,Men 511 Slim Fit Jeans,Rs. 1889,https://www.myntra.comjeans/levis/levis-men-511-slim-fit-stretchable-jeans/25756946/buy
Levis,Pack of 2 Pure Cotton Briefs,Rs. 383,https://www.myntra.combriefs/levis/levis-men-pack-of-2-solid-cotton-ultrasoft-waistband-brief-with-smartskin-technology/9263137/buy
Levis,Men 511 Slim Fit Jeans,Rs. 1631,https://www.myntra.comjeans/levis/levis-men-511-slim-fit-light-fade-stretchable-jeans/25756900/buy
Levis,Men Solid Neo Briefs,Rs. 201,https://www.myntra.combriefs/levis/levis-men-solid-cotton-ultrasoft-waistband-brief-with-smartskin-technology/9262479/buy
Levis,Men 505 Straight Fit Jeans,Rs. 1748,https://www.myntra.comjeans/levis/levis-men-505-straight-fit-light-fade-stretchable-jeans/35552324/buy
Levis,Men 511 Slim Fit Jeans,Rs. 1535,https://www.myntra.comjeans/levis/levis-men-mid-rise-511-slim-fit-light-fade-stretchable-jeans/25756894/buy
Levis,Men Black Solid Trunks,Rs. 268,https://www.myntra.comtrunk/levis/levis-men-pure-cotton-long-length-trunk-with-ultrasoft-waistband/9261149/buy
Levis,Smartskin Technology Trunks,Rs. 289,https://www.myntra.comtrunk/levis/levis-men-pure-cotton-long-length-trunk-with-ultrasoft-waistband/12032616/buy
