Brand,Title,Price,Product URL,Description,Rating,Sizes,Inventory By Location,Source Brand Page
Levis,Solid Lounge T-shirt,Rs. 558Rs. 649(14% OFF),https://www.myntra.com/lounge-tshirts/levis/levis-men-soft-pure-cotton-round-neck-half-sleeve-tshirt/12027436/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Men Solid Thermal Top,Rs. 483Rs. 849(43% OFF),https://www.myntra.com/thermal-tops/levis/levis-mens-round-neck-half-sleeve-thermal-regular-fit-top/10723252/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Men 511 Slim Fit Jeans,Rs. 1439Rs. 2999(52% OFF),https://www.myntra.com/jeans/levis/levis-men-511-slim-fit-light-fade-stretchable-jeans/25756782/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Men Neo Briefs,Rs. 201Rs. 249(19% OFF),https://www.myntra.com/briefs/levis/levis-men-solid-cotton-ultrasoft-waistband-brief-with-smartskin-technology/9263091/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Men Pack of 2 Solid Briefs,Rs. 383Rs. 479(20% OFF),https://www.myntra.com/briefs/levis/levis-men-pack-of-2-solid-cotton-ultrasoft-waistband-brief-with-smartskin-technology/9262603/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Men 512 Slim Fit Jeans,Rs. 1739Rs. 2999(42% OFF),https://www.myntra.com/jeans/levis/levis-men-512--low-rise-light-fade-stretchable-tapered-fit-jeans/25756744/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Solid Lounge T-shirt,Rs. 558Rs. 649(14% OFF),https://www.myntra.com/lounge-tshirts/levis/levis-men-soft-pure-cotton-round-neck-half-sleeve-tshirt/12027432/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Men Solid Innerwear Vest,Rs. 239Rs. 279(14% OFF),https://www.myntra.com/innerwear-vests/levis/levis-men-solid-scoop-neck-sleeveless-pure-cotton-classic-vest/9270955/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Pack of 2 Assorted Trunks,Rs. 448Rs. 598(25% OFF),https://www.myntra.com/trunk/levis/levis-men-pack-of-2-assorted-solid-trunks-020/14447638/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Men Pure Cotton Neo Brief,Rs. 201Rs. 249(19% OFF),https://www.myntra.com/briefs/levis/levis-men-solid-cotton-ultrasoft-waistband-brief-with-smartskin-technology/9262481/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Men Solid Innerwear Vest,Rs. 279Rs. 329(15% OFF),https://www.myntra.com/innerwear-vests/levis/levis-men-solid-round-neck-sleeveless-pure-cotton-rib-vest/9270895/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
